id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
58770,men,apparel,topwear,shirts,grey,summer,2012.0,casual,locomotive men grey shirt
31286,men,apparel,topwear,tshirts,white,summer,2012.0,casual,puma men white t-shirt
27277,women,apparel,topwear,kurtas,green,fall,2011.0,ethnic,mother earth women blue kurta
13251,men,apparel,bottomwear,other,beige,fall,2011.0,casual,palm tree kids boy solid beige trousers
36253,men,apparel,other,other,navy blue,summer,2016.0,casual,sdl by sweet dreams men navy blue pyjama set
34166,girls,apparel,topwear,tops,other,summer,2012.0,casual,gini and jony girls purple top
44195,women,footwear,flip flops,flip flops,black,winter,2012.0,casual,ipanema women black flip flops
19587,women,apparel,topwear,tops,white,summer,2011.0,casual,united colors of benetton women white printed top
25466,men,footwear,shoes,sports shoes,black,summer,2012.0,sports,nike men downshifter black sports shoes
28367,men,free items,other,other,black,winter,2016.0,casual,idee men steel sunglasses
6164,men,apparel,topwear,tshirts,red,summer,2011.0,casual,lee men's stallion red jasper t-shirt
31434,men,apparel,bottomwear,other,grey,summer,2012.0,casual,highlander men grey trousers
10396,men,accessories,watches,watches,black,winter,2016.0,sports,puma men atlantis all black watches
37447,men,accessories,belts,belts,black,summer,2012.0,casual,turtle men black belt
47162,men,accessories,belts,belts,brown,summer,2012.0,casual,peter england men brown belt
59550,women,accessories,jewellery,other,silver,summer,2013.0,casual,lucera silver earrings
24784,women,accessories,belts,belts,white,winter,2015.0,casual,lino perros women ladies belts white/pink white belts
54991,women,apparel,topwear,tops,other,fall,2012.0,casual,femella women peach kaftan top
28580,men,accessories,watches,watches,blue,winter,2016.0,casual,adidas originals men blue dial watch adh2649
38046,men,accessories,watches,watches,black,winter,2016.0,casual,q&q attractive men black analog watch
27942,men,apparel,innerwear,briefs,blue,summer,2016.0,casual,jockey men comfort stretch blue bikini brief
25918,women,apparel,topwear,tshirts,blue,summer,2012.0,casual,femella women blue t-shirt
10043,men,apparel,topwear,tshirts,black,fall,2011.0,casual,puma men ferrari black polo tshirts
52148,women,apparel,topwear,tshirts,red,summer,2012.0,casual,femella women red polo t-shirt
7866,men,footwear,shoes,other,brown,summer,2011.0,formal,provogue men's formal brown shoe
55615,men,footwear,shoes,casual shoes,black,summer,2012.0,casual,numero uno men black shoes
5388,men,footwear,shoes,sports shoes,blue,summer,2011.0,sports,kalenji kapteren tr grey blue 2010
28905,women,apparel,topwear,kurtas,other,summer,2012.0,ethnic,biba women printed multi coloured kurta
10435,men,apparel,topwear,shirts,red,fall,2011.0,casual,flying machine men hs red shirts
45166,women,accessories,watches,watches,black,winter,2016.0,casual,casio enticer women black multi-dial watch ltp-2083d-1avdf(a528)
42834,women,accessories,bags,handbags,grey,summer,2012.0,casual,french connection women grey & brown handbag
36704,men,personal care,fragrance,other,grey,spring,2017.0,casual,burberry london men special edition perfume
6390,women,footwear,shoes,other,beige,summer,2011.0,casual,lotto women sofia purple black floater
57395,women,apparel,innerwear,briefs,brown,winter,2015.0,casual,amante women brown briefs pgbr01
52142,women,apparel,topwear,tshirts,blue,summer,2012.0,casual,femella women blue polo t-shirt
11611,women,apparel,topwear,kurtas,black,summer,2011.0,ethnic,w women solid black kurtas
6781,men,apparel,topwear,tshirts,yellow,summer,2011.0,casual,timberland men's pique polo yellow t-shirt
39857,boys,apparel,topwear,tshirts,yellow,summer,2012.0,casual,gini and jony boys printed yellow t-shirt
31162,unisex,apparel,bottomwear,other,blue,summer,2012.0,casual,gini and jony kids unisex blue jeans
29960,men,accessories,eyewear,sunglasses,other,winter,2016.0,casual,cat men metal sunglasses
37712,men,apparel,topwear,tshirts,yellow,summer,2012.0,casual,john players men printed yellow t-shirt
39221,women,apparel,dress,other,purple,summer,2012.0,casual,femella women purple dress
59760,women,footwear,shoes,heels,white,winter,2012.0,casual,rocia women white flats
7961,men,apparel,topwear,tshirts,blue,fall,2011.0,sports,puma men's graphic mood indigo navy t-shirt
42818,women,apparel,innerwear,briefs,grey,summer,2012.0,casual,little miss intimates women grey brief
11558,women,apparel,topwear,kurtas,green,summer,2011.0,ethnic,w women printed blue kurtas
3645,men,footwear,shoes,casual shoes,black,summer,2011.0,casual,fila men's maverick hi black red canvas shoe
26727,men,apparel,topwear,tshirts,black,summer,2012.0,casual,puma men tech black t-shirt
17799,men,apparel,topwear,tshirts,other,fall,2011.0,casual,chhota bheem kids boy men journey to petra orange tshirt
19434,men,accessories,other,other,blue,summer,2012.0,casual,quiksilver men blue sting ray beanie hat
6832,men,footwear,shoes,sports shoes,black,summer,2011.0,sports,nike men's air compete black shoe
32511,men,footwear,shoes,other,black,summer,2012.0,formal,franco leone men slip on black formal shoes
53778,women,apparel,topwear,tshirts,other,summer,2012.0,casual,puma women magenta t-shirt
48936,women,accessories,jewellery,other,silver,fall,2012.0,casual,lucera women silver ring
3906,women,apparel,bottomwear,other,black,summer,2011.0,casual,urban yoga women's fitted yoga black track pant
19450,men,apparel,topwear,tshirts,black,summer,2012.0,casual,quiksilver men black t-shirt
7059,unisex,accessories,bags,other,blue,summer,2011.0,sports,nike unisex classic blue black backpack
40786,men,footwear,flip flops,flip flops,blue,summer,2012.0,casual,quiksilver men blue flip flops
27109,women,apparel,topwear,kurtas,other,summer,2012.0,ethnic,aneri women chanchal orange kurta
40010,men,accessories,eyewear,sunglasses,black,winter,2016.0,casual,park avenue men black frame sunglasses
38360,men,accessories,wallets,wallets,brown,summer,2012.0,casual,peter england men brown wallet
9867,men,apparel,topwear,tshirts,black,fall,2011.0,casual,status quo men stripes black tshirts
5381,women,footwear,shoes,sports shoes,purple,fall,2011.0,sports,quechua arpenaz 200 l
16324,men,apparel,topwear,tshirts,navy blue,fall,2011.0,casual,peter england men printed navy blue tshirt
35534,girls,footwear,shoes,casual shoes,yellow,summer,2012.0,casual,enroute girls yellow shoes
37489,women,accessories,watches,watches,black,winter,2016.0,casual,esprit women black watch
12374,men,apparel,topwear,shirts,white,fall,2011.0,formal,reid & taylor men stripes white shirts
32824,women,footwear,shoes,heels,blue,winter,2012.0,casual,ipanema women blue premium flats
7592,men,footwear,shoes,sports shoes,blue,summer,2011.0,sports,nike men's dunk low blue shoe
17996,men,apparel,bottomwear,other,navy blue,summer,2010.0,sports,puma men wind navy blue track pant
25268,women,accessories,bags,handbags,red,summer,2012.0,casual,lino perros women red & grey checks handbag
47386,women,accessories,bags,handbags,beige,fall,2012.0,casual,baggit women beige handbag
2065,women,apparel,topwear,tshirts,black,fall,2010.0,sports,adidas women polo black polo t-shirt
46105,men,footwear,flip flops,flip flops,black,summer,2012.0,casual,adidas men black street rules flip flops
30013,men,accessories,watches,watches,black,winter,2016.0,casual,kenneth cole men black dial chronograph watch
41050,men,accessories,watches,watches,brown,winter,2016.0,casual,nautica men brown dial watch
53046,women,apparel,other,other,other,fall,2012.0,ethnic,fnf multi coloured printed sari
33988,women,accessories,other,other,blue,summer,2012.0,casual,femella women printed blue scarf
40634,women,apparel,topwear,kurtas,red,summer,2012.0,ethnic,span women red kurta
29490,women,accessories,watches,watches,silver,winter,2016.0,casual,giordano women silver dial watch
42006,women,accessories,wallets,wallets,beige,summer,2012.0,casual,baggit women beige goofy jhuti wallet
48878,women,accessories,jewellery,other,silver,summer,2013.0,casual,lucera women silver pendant
19479,men,accessories,socks,other,blue,summer,2016.0,casual,quiksilver men blue socks
55083,women,personal care,other,other,green,spring,2017.0,casual,pond's white beauty naturals spot-less lightening cream
5455,boys,apparel,topwear,tshirts,green,summer,2011.0,casual,ant kids boy's musical buzz green t-shirts kidswear
53537,women,apparel,innerwear,briefs,other,winter,2015.0,casual,amante women pack of 3 assorted briefs pfcp12
26781,men,personal care,fragrance,other,blue,spring,2017.0,casual,reebok men pack of 3 deos
27202,men,apparel,topwear,shirts,red,summer,2012.0,casual,doodle kids boy check red shirt
14028,men,apparel,bottomwear,other,black,fall,2011.0,casual,nike men solid black tracksuits
12155,women,apparel,bottomwear,other,beige,fall,2011.0,ethnic,aurelia women solid beige leggings
37786,men,apparel,topwear,shirts,blue,summer,2012.0,casual,john players men striped blue shirt
59567,men,accessories,other,other,other,summer,2012.0,casual,revv men black and steel cufflinks
8961,men,footwear,shoes,other,black,summer,2011.0,formal,provogue men's panther black shoe
21766,men,accessories,belts,belts,brown,fall,2011.0,casual,fossil men marcus brown belt
13963,men,apparel,topwear,shirts,white,summer,2011.0,formal,john miller men stripes white shirts
22969,unisex,accessories,bags,other,black,summer,2011.0,casual,u.s. polo assn. black unisex lug-laptop backpack
3769,men,apparel,topwear,tshirts,blue,summer,2011.0,casual,status quo men's blue polo t-shirt
26262,men,apparel,topwear,tshirts,green,summer,2012.0,casual,proline men green polo t-shirt
45601,men,footwear,shoes,other,black,summer,2012.0,formal,arrow men black formal shoes
4426,men,apparel,topwear,tshirts,white,summer,2011.0,casual,wrangler men's diamond stitch polo white t-shirt
22239,men,footwear,shoes,casual shoes,navy blue,summer,2011.0,casual,id men navy blue casual shoes
36135,men,footwear,shoes,sports shoes,white,summer,2012.0,sports,nike men revolution white sports shoes
11837,men,footwear,shoes,casual shoes,red,summer,2013.0,casual,playboy men casual red casual shoes
37291,women,accessories,watches,watches,pink,winter,2016.0,casual,casio enticer women pink dial analogue watch a444 
57328,women,apparel,innerwear,other,other,winter,2015.0,casual,amante lavender t-shirt bra bcmv01
29916,men,accessories,watches,watches,black,winter,2016.0,casual,police men black dial chronograph watch pl12676jsu-02
30646,men,apparel,topwear,tshirts,yellow,summer,2012.0,casual,nike men barca logo yellow t-shirt
44039,men,personal care,fragrance,other,silver,spring,2017.0,casual,dunhill men london deo
56932,women,footwear,shoes,heels,other,winter,2012.0,casual,hm women metallic flats
19507,men,accessories,belts,belts,brown,fall,2011.0,casual,wrangler plate men brown belts
18635,men,apparel,topwear,tshirts,red,fall,2011.0,sports,puma men bts red tshirts
33951,men,apparel,topwear,tshirts,black,summer,2012.0,casual,adidas men cinder black t-shirt
43184,men,accessories,watches,watches,silver,winter,2016.0,casual,fastrack men silver-toned dial watch n9333pp01
38583,men,apparel,topwear,tshirts,grey,summer,2012.0,casual,nike men printed grey t-shirt
49301,men,accessories,socks,other,grey,summer,2016.0,casual,arrow men pack of 5 socks
43784,women,accessories,jewellery,other,maroon,summer,2012.0,casual,royal diadem maroon earrings
21955,women,accessories,bags,handbags,maroon,winter,2015.0,casual,murcia women casual maroon handbag
28755,women,apparel,topwear,kurtas,purple,summer,2012.0,ethnic,aurelia women printed purple kurta
58037,women,accessories,jewellery,other,silver,fall,2012.0,casual,rreverie silver earrings
40687,men,footwear,shoes,casual shoes,white,summer,2012.0,casual,numero uno men white shoes
51016,women,apparel,innerwear,other,other,summer,2017.0,casual,enamor lupine coloured smooth bra
22438,women,apparel,topwear,other,blue,summer,2011.0,ethnic,global desi women printed blue kurti
36343,men,accessories,other,other,maroon,summer,2012.0,formal,reid & taylor men maroon tie
23187,men,apparel,topwear,shirts,black,fall,2011.0,formal,black coffee men black striped shirt
48790,women,accessories,jewellery,other,silver,summer,2013.0,casual,lucera women silver pendant
29290,men,apparel,topwear,shirts,blue,summer,2012.0,casual,wrangler men miriam checks blue shirt
16793,men,apparel,topwear,shirts,blue,fall,2011.0,casual,highlander men check blue shirt
35696,men,footwear,shoes,casual shoes,white,summer,2012.0,casual,nike men sweet classic leather white shoes
38536,men,footwear,shoes,casual shoes,white,summer,2012.0,casual,puma men white evo leather shoes
53571,unisex,accessories,watches,watches,blue,winter,2016.0,casual,q&q kids unisex blue dial watch
52453,women,apparel,other,other,red,winter,2015.0,casual,red rose red nightdress
9256,men,apparel,topwear,shirts,blue,fall,2011.0,formal,mark taylor men blue striped shirt
14849,men,accessories,wallets,wallets,brown,summer,2011.0,casual,united colors of benetton men solid brown wallets
4102,men,footwear,shoes,sports shoes,white,summer,2011.0,sports,puma men white shoe
47273,men,apparel,innerwear,briefs,black,summer,2016.0,casual,fcuk underwear men black brief
42060,unisex,accessories,bags,other,black,summer,2012.0,casual,american tourister unisex black camera bag
9605,men,apparel,topwear,shirts,green,fall,2011.0,casual,scullers men scul green white shirts
14628,women,apparel,topwear,other,blue,fall,2011.0,casual,united colors of benetton women solid blue sweat shirts
12720,unisex,footwear,sandal,sandals,black,fall,2011.0,casual,adidas unisex casual black sandals
12811,men,apparel,bottomwear,other,black,summer,2012.0,sports,nike men dri-fit black track pants
14810,women,accessories,bags,handbags,brown,summer,2011.0,casual,united colors of benetton women solid brown handbags
5855,women,accessories,bags,handbags,white,summer,2011.0,casual,adidas women plated handbag
37263,unisex,accessories,bags,other,other,summer,2012.0,casual,vital gear unisex olive tacti backpack
49798,men,accessories,other,other,green,summer,2012.0,casual,flying machine men green cap
28090,men,apparel,innerwear,other,grey,summer,2016.0,casual,jockey goldedn men gold edition grey trunks 4013
22105,men,footwear,shoes,casual shoes,black,fall,2011.0,casual,flying machine men black casual shoes
7680,women,accessories,socks,other,blue,summer,2016.0,casual,wrangler women's blue ankle length socks
18307,men,apparel,topwear,shirts,brown,fall,2011.0,casual,wills lifestyle men check brown shirt
